GW_DFMS_Levels

Flow Meter Number,Date,Initial Reading,Final Reading (KL),Discharge (KL),No.of Working Hours,Discharge per Hour
FM-1547,10/16/24,0.02,0.02,0,0,-
FM-1642,2/27/25,40179.86,40407.36,227.5,7.93,28.68
FM-1976,7/20/24,41063.99,41143.97,79.98,3.97,20.16
FM-1989,2/27/25,39210.71,39295.34,84.63,7.92,10.68
FM-2001,2/27/25,24351.23,24402.48,51.25,5.68,9.03
FM-2039,2/27/25,0,0,0,0,-
FM-2056,2/27/25,7881.68,7881.68,0,0,-
FM-2141,2/10/25,6878.68,6878.68,0,0,-
FM-2171,2/27/25,39383.4,39451.04,67.63,6.83,9.91
FM-2184,2/25/25,0,0,0,0,-
FM-2200,2/27/25,30341.49,30341.49,0,0,-
FM-2410,2/26/25,564.19,570.3,6.11,1.02,6.01
FM-2491,2/27/25,15015.56,15129.32,113.76,8.88,12.81
FM-2498,2/27/25,7026.54,7120.92,94.38,8.71,10.83
FM-2615,2/27/25,2692.35,2692.35,0,0,-
FM-3046,2/27/25,72539.35,72834.87,295.52,8.82,33.49
FM-3133,2/27/25,0.08,0.08,0,0,-
FM-3151,7/20/24,17976.39,17976.39,0,0,-
FM-3180,6/1/24,36157.94,36157.94,0,0,-
FM-3225,2/27/25,0,0,0,0,-
FM-3246,2/27/25,37450.15,37450.15,0,0,-
FM-3271,2/27/25,21291.2,21291.2,0,0,-
FM-3294,2/27/25,86.69,86.69,0,0,-
FM-3368,7/20/24,29253.08,29253.08,0,0,-
FM-3392,2/27/25,171.64,171.64,0,0,-
FM-3502,2/27/25,10050.48,10160.88,110.4,4.38,25.18
FM-3515,2/27/25,4493.48,4493.48,0,0,-
FM-3519,2/27/25,523.82,523.82,0,0,-
FM-3670,2/27/25,25155.14,25296.87,141.73,9,15.75
FM-3719,2/27/25,0,0,0,0,-
FM-3743,2/27/25,40822.03,40822.03,0,0,-
FM-3788,2/16/25,7553.66,7553.66,0,0,-
FM-3792,2/27/25,16340.06,16340.06,0,0,-
FM-3820,2/27/25,4664.16,4664.16,0,0,-
FM-3848,2/27/25,1958.13,1958.13,0,0,-
FM-4027,2/27/25,6975.25,6975.25,0,0,-
FM-4083,2/27/25,9138.84,9138.84,0,0,-
FM-4099,2/27/25,2733.14,2733.14,0,0,-
FM-4104,2/27/25,26374.96,26736.73,361.77,8.25,43.83
FM-4148,2/27/25,10377.96,10460.62,82.66,8.91,9.28
FM-4297,2/27/25,13585.34,13670.71,85.37,7.72,11.06
FM-4302,2/27/25,5061.89,5112.9,51.02,6.22,8.2
FM-4350,2/27/25,2363.41,2402.2,38.79,6.59,5.88
FM-6108,2/27/25,5956.75,5956.75,0,0,-
FM-6424,2/27/25,5964.89,6023.35,58.46,8.64,6.76
FM-6522,2/27/25,6711.38,6714.54,3.16,0.04,84.19
FM-6540,2/27/25,10151.74,10241.75,90.01,7.04,12.79
FM-6566,2/11/25,4688.2,4688.2,0,0,-
FM-6577,2/27/25,6890.8,7032.24,141.43,4.62,30.63
FM-6588,2/27/25,3335.95,3388.63,52.68,5.42,9.71
FM-6609,2/27/25,4711.9,4711.9,0,0,-
FM-6636,2/27/25,13867.74,13891.9,24.17,0.63,38.4
FM-6662,2/27/25,31284.06,31515.88,231.83,8.23,28.17
FM-6667,2/27/25,14887.81,15064.38,176.58,9.32,18.96
FM-6733,2/27/25,25359.92,25610.3,250.39,7.77,32.24
FM-6742,2/27/25,9739.99,9843.25,103.26,7.64,13.51
FM-6826,2/27/25,6438.9,6438.9,0,0,-
FM-6891,2/27/25,32521.77,32650.56,128.8,8.68,14.85
FM-7043,2/27/25,13644.75,13735.72,90.96,6.13,14.85
FM-7189,2/27/25,270.03,270.03,0,0,-
FM-7278,2/27/25,5061.26,5149.89,88.64,8.77,10.11
FM-7315,2/27/25,62814.53,63197.56,383.04,8.76,43.73
FM-7333,2/27/25,911,911.36,0.36,0.03,10.86
