District Wise Rainfall For Andhra Pradesh From Jun 01-2025  To Apr 15-2026

DISTRICT,2/26/01,,3/26/01,,Apr 01-2026 - Apr 15-2026,,Jun 01-2025 - Apr 15-2026,,,
,Normal (mm),Actual (mm),Normal (mm),Actual (mm),Normal (mm),Actual (mm),Normal (mm),Actual (mm),Deviation (%),Status
Srikakulam,19.58,2.18,19.44,11.36,29,10.14,1050.4,1071.8,2.04,NORMAL
Vizianagaram,16.35,1.72,17.42,7.4,26.61,18.61,986.8,1177.3,19.3,NORMAL
Manyam,16.69,7.96,29.48,12.17,36.44,10.98,1034.8,1076,3.98,NORMAL
Alluri Sitharama Raju,10.22,12.9,21.81,19.38,49.45,10.12,1155.4,1315.6,13.87,NORMAL
Polavaram,-,-,4.4,1.7,9.8,8.23,1152.8,1160.4,0.66,NORMAL
Visakhapatnam,12.61,0.38,17.38,4.45,19.03,1.55,1005.9,995.1,-1.07,NORMAL
Anakapalli,13.65,3.58,20.2,17.36,26.01,13.48,1049,1113,6.1,NORMAL
Kakinada,13.43,2.98,12.94,5.92,17.51,6.03,1011.9,872.8,-13.75,NORMAL
Kona Seema,11.14,4.82,11.71,0.83,10.99,13.52,1232.6,957.6,-22.31,DEFICIENT
East Godavari,7.79,4.64,15.21,8.57,18.48,14.73,1054.4,799.4,-24.18,DEFICIENT
West Godavari,8.9,0.97,14.87,0.48,14.41,3.6,1140.4,941.7,-17.42,NORMAL
Eluru,7.16,3,14.19,8.55,19.49,12.79,985.9,1102.8,11.86,NORMAL
Krishna,10.16,0.44,10.92,2.26,10.44,3.56,985.6,892.3,-9.47,NORMAL
NTR,4.35,12.76,7.62,1.84,15.17,5.13,958.3,1129.1,17.82,NORMAL
Guntur,9.48,0.15,9.84,3.49,11.09,0.53,827,1092.4,32.09,EXCESS
Bapatla,6.33,0.17,5.82,0.48,9.63,0.09,883.1,879.8,-0.37,NORMAL
Palnadu,9.5,0.36,8.88,0.86,12.31,1.97,716.8,781.8,9.07,NORMAL
Prakasam,4.54,0.11,8.66,1.53,13.46,5.28,898.5,872.8,-2.86,NORMAL
Markapuram,-,-,3.14,4.56,3.92,3.94,690.2,781.4,13.21,NORMAL
S.P.S.Nellore,5.47,0.62,5.53,0.1,9.85,3.29,993.4,1062.8,6.99,NORMAL
Kurnool,1.48,0.2,5.39,1.99,15.41,0.04,566,692.2,22.3,EXCESS
Nandyal,2.3,0.07,4.96,1.2,18.41,0.35,675.4,862.4,27.69,EXCESS
Anantapuramu,0.81,0.26,1.88,4.45,12.11,0.43,469.8,473.3,0.74,NORMAL
Sri Satyasai,1.86,0.23,4.19,0.61,13.3,0.09,540.5,518.3,-4.11,NORMAL
Y.S.R.Kadapa,0.89,0.02,2.42,1.14,11.54,1.09,643.3,724.9,12.68,NORMAL
Annamayya,2.88,0.02,7.28,0.63,15.01,0.63,683.8,783.5,14.58,NORMAL
Chittoor,2.84,0.38,9.57,0.78,18.87,2.42,846.4,995.7,17.64,NORMAL
Tirupati,7.02,0.03,5.19,0.13,11.24,3.5,1028.6,1239,20.45,EXCESS
COASTAL ANDHRA REGION,10.27,3.09,13.68,6.26,19.47,7.17,980.63,1002.51,2.87,NORMAL
RAYALASEEMA REGION,3.31,0.14,6.48,0.95,15.79,1.39,760.04,914.56,20.53,EXCESS
Andhra Pradesh,6.33,2.12,9.56,4.4,17.45,4.53,902.4,919.4,1.88,NORMAL
