Soil moisture summary

DISTRICT,Available Soil Moisture(T.M.C) till 5 cms depth,Available Soil Moisture(%) till 5 cms depth,Available Soil Moisture(T.M.C) till 30 cms depth,Available Soil Moisture(%) till 30 cms depth,Available Soil Moisture(T.M.C) till 100 cms depth,Available Soil Moisture(%) till 100 cms depth,Available Soil Moisture(T.M.C) till 150 cms depth,Available Soil Moisture(%) till 150 cms depth
Srikakulam,0.58,73.3,2.08,34.79,13.18,62.58,23.08,72.43
Vizianagaram,0.46,69.35,1.57,29.03,11.43,62.3,20.4,73.92
Parvathipuram Manyam,0.42,60.49,0.97,21.12,6.37,42.82,11.33,50.94
Alluri Sitharama Raju,0.78,69.04,1.92,20.17,13.3,42.65,23.75,50.89
Polavaram,0.64,58.9,1.62,20.08,8.52,35.32,14.65,41.16
Visakhapatnam,0.07,38.9,0.47,35.76,2.87,63.83,4.95,73.05
Anakapalli,0.56,76.04,1.77,39.83,9.83,63.86,16.93,72.61
Kakinada,0.34,56.72,1.19,30.53,7.93,57.29,13.99,66.73
Konaseema,0.19,58.83,1.24,51.03,6.54,75.06,11,82.86
East Godavari,0.25,53.38,0.81,19.82,7.89,55.82,14.54,68.11
West Godavari,0.13,37.35,0.74,25.61,6.59,62.8,11.94,75.1
Eluru,0.4,35.29,1.99,22.89,15.68,53.78,28.1,64.22
Krishna,0.1,15.89,1.87,36.56,12.45,69.37,21.63,79.65
NTR,0.3,58.42,0.9,20.95,7.97,55.6,14.56,67.6
Guntur,0.11,27.98,1.03,32.99,7.5,67.19,13.23,78.15
Bapatla,0.04,9.58,1.48,37.59,9.8,70.15,16.98,80.18
Palnadu,0.42,31.15,1.33,13.68,14.08,42.73,26.11,52.89
Prakasam,0.22,20.43,2.36,26.09,19.64,62.31,35.21,74.21
Markapuram,0.97,49.55,2.71,18.87,19.82,44.53,35.53,54.29
Sri Potti Sriramulu Nellore,1.02,59.98,9.98,69.31,41.33,84.11,65.51,88.77
Kurnool,0.33,26.03,0.65,5.87,17.03,44.3,33.14,57.15
Nandyal,0.35,17.16,1.24,9.16,17.23,38.04,32.5,47.91
Ananthapuramu,0.68,37.65,1.13,8.3,20.9,50.79,40.32,65.57
Sri Sathya Sai,0.88,51.87,1.71,13.64,20.04,52.43,37.71,66.3
Y.S.R Kadapa,1.25,58.29,4.24,25.76,28.14,53.47,49.64,63.34
Annamayya,1.07,77.7,3.69,39.81,18.96,63.49,32.14,72.67
Chittoor,0.91,87.15,3.54,44.08,17.91,66.44,30.16,74.73
Tirupati,1.15,60.22,7.72,54.96,31.53,69.6,50.09,74.53
COASTAL ANDHRA REGION,8.01,49.03,38.02,30.28,242.73,57.11,423.42,66.38
RAYALASEEMA REGION,6.61,49.46,23.92,23.97,171.74,53.98,305.71,64.52
Total,14.62,49.21,61.94,27.55,414.47,55.76,729.13,65.58
