Rank,District,Male,Female,Total,SharePercent,RuralPercent,UrbanPercent,FemalesPer1000Males,MalesPer100Females
1,East Godavari,2569688,2584608,5154296,10.44,74.51,25.49,1006,99.423
2,Guntur,2440521,2447292,4887813,9.9,66.19,33.81,1003,99.723
3,Krishna,2267375,2250023,4517398,9.15,59.19,40.81,992,100.771
4,Visakhapatnam,2138910,2151679,4290589,8.69,52.55,47.45,1006,99.407
5,Chittoor,2090204,2083860,4174064,8.45,70.5,29.5,997,100.304
6,Anantapur,2064495,2016653,4081148,8.26,71.93,28.07,977,102.372
7,Kurnool,2039227,2014236,4053463,8.21,71.65,28.35,988,101.241
8,West Godavari,1964918,1972048,3936966,7.97,79.46,20.54,1004,99.638
9,Prakasam,1714764,1682684,3397448,6.88,80.44,19.56,981,101.906
10,Sri Potti Sriramulu Nellore,1492974,1470583,2963557,6.0,71.06,28.94,985,101.523
11,Y.S.R.,1451777,1430692,2882469,5.84,66.03,33.97,985,101.474
12,Srikakulam,1341738,1361376,2703114,5.47,83.84,16.16,1015,98.557
13,Vizianagaram,1161477,1182997,2344474,4.75,79.06,20.94,1019,98.181
