S.No.,State,District,2022 - 2023,,,2020 - 2021,,,2019 - 2020,,,2021 - 2022,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1,Andhra Pradesh,Alluri sitharama raju,"81,832.00","211,777.00",2.59,,,,,,,,,
,,Anakapalli,"60,334.00","188,192.00",3.12,,,,,,,,,
,,Anantapur,"64,171.00","274,397.00",4.28,"80,277.00","238,196.00",2.97,"92,588.00","221,727.00",2.39,"76,031.00","165,982.00",2.18
,,Annamayya,"19,980.00","73,512.00",3.68,,,,,,,,,
,,Bapatla,"165,107.00","1,021,518.00",6.19,,,,,,,,,
,,Chittoor,"24,687.00","75,170.00",3.04,"102,222.00","347,802.00",3.4,"66,866.00","229,059.00",3.43,"98,576.00","335,787.00",3.41
,,East godavari,"141,759.00","681,012.00",4.8,"407,528.00","1,479,978.00",3.63,"399,343.00","1,726,095.00",4.32,"439,725.00","1,520,449.00",3.46
,,Eluru,"151,010.00","895,559.00",5.93,,,,,,,,,
,,Guntur,"100,209.00","680,037.00",6.79,"350,411.00","1,529,235.00",4.36,"336,462.00","1,727,681.00",5.13,"348,910.00","1,440,374.00",4.13
,,Kadapa,"48,978.00","148,125.00",3.02,"78,369.00","178,987.00",2.28,"69,178.00","168,304.00",2.43,"81,343.00","159,712.00",1.96
,,Kakinada,"155,875.00","614,674.00",3.94,,,,,,,,,
,,Konaseema,"127,944.00","595,678.00",4.66,,,,,,,,,
,,Krishna,"176,018.00","730,890.00",4.15,"367,218.00","1,359,085.00",3.7,"341,116.00","1,412,347.00",4.14,"295,223.00","1,065,813.00",3.61
,,Kurnool,"41,501.00","143,033.00",3.45,"236,666.00","734,037.00",3.1,"237,439.00","842,071.00",3.55,"234,810.00","765,961.00",3.26
,,Nandyal,"199,843.00","798,811.00",4,,,,,,,,,
,,Ntr,"77,164.00","325,674.00",4.22,,,,,,,,,
,,Palnadu,"73,293.00","315,848.00",4.31,,,,,,,,,
,,Parvathipuram manyam,"86,542.00","301,077.00",3.48,,,,,,,,,
,,Prakasam,"46,649.00","160,082.00",3.43,"124,841.00","418,268.00",3.35,"111,038.00","404,299.00",3.64,"126,981.00","430,222.00",3.39
,,Spsr nellore,"154,232.00","683,236.00",4.43,"316,891.00","1,236,036.00",3.9,"234,245.00","995,228.00",4.25,"275,164.00","1,174,906.00",4.27
,,Sri sathya sai,"41,887.00","109,573.00",2.62,,,,,,,,,
,,Srikakulam,"190,629.00","696,570.00",3.65,"246,804.00","702,748.00",2.85,"263,649.00","891,457.00",3.38,"245,076.00","721,401.00",2.94
,,Tirupati,"102,295.00","391,507.00",3.83,,,,,,,,,
,,Visakhapatanam,"6,580.00","23,019.00",3.5,"135,575.00","310,977.00",2.29,"132,905.00","294,547.00",2.22,"126,576.00","288,511.00",2.28
,,Vizianagaram,"132,470.00","602,275.00",4.55,"159,277.00","562,671.00",3.53,"166,287.00","655,744.00",3.94,"174,221.00","608,485.00",3.49
,,West godavari,"176,175.00","802,709.00",4.56,"452,252.00","1,949,336.00",4.31,"442,476.00","2,206,459.00",4.99,"456,018.00","1,993,803.00",4.37
