State,District,Year,Black pepper,,,Coconut,,,Banana,,
,,,Whole Year,,,Whole Year,,,Whole Year,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare),Area (Hectare),Production (Nuts),Yield (Nuts/Hectare),Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Andhra Pradesh,1. Alluri sitharama raju,2022 - 2023,382,235,0.62,23,"421,000.00","18,304.35",,,
,2. Anakapalli,2022 - 2023,,,,"7,593.00","100,425,000.00","13,226.00",,,
,3. Anantapur,2019 - 2020,5,5,1,358,"6,588,000.00","18,402.23","15,116.00","906,960.00",60
,,2020 - 2021,,,,417,"7,298,000.00","17,501.20",,,
,,2021 - 2022,,,,422,"7,749,000.00","18,362.56",,,
,,2022 - 2023,,,,122,"2,235,000.00","18,319.67",,,
,4. Annamayya,2022 - 2023,,,,265,"4,855,000.00","18,320.75",,,
,5. Bapatla,2022 - 2023,,,,72,"1,319,000.00","18,319.44",,,
,6. Chittoor,2019 - 2020,,,,"2,360.00","21,606,000.00","9,155.08","2,384.00","143,040.00",60
,,2020 - 2021,,,,"1,996.00","26,698,000.00","13,375.75",,,
,,2021 - 2022,,,,"1,972.00","26,383,000.00","13,378.80",,,
,,2022 - 2023,,,,"1,568.00","28,727,000.00","18,320.79",,,
,7. East godavari,2019 - 2020,,,,"50,535.00","898,057,000.00","17,770.99","15,769.00","946,140.00",60
,,2020 - 2021,,,,"50,254.00","914,623,000.00","18,200.00",,,
,,2021 - 2022,,,,"49,411.00","898,588,000.00","18,185.99",,,
,,2022 - 2023,6,3,0.5,"8,085.00","115,737,000.00","14,315.03",,,
,8. Eluru,2022 - 2023,90,10,0.11,"13,621.00","371,458,000.00","27,270.98",,,
,9. Guntur,2019 - 2020,,,,97,"1,785,000.00","18,402.06","4,996.00","299,760.00",60
,,2020 - 2021,,,,95,"1,663,000.00","17,505.26",,,
,,2021 - 2022,,,,109,"2,001,000.00","18,357.80",,,
,,2022 - 2023,,,,19,"348,000.00","18,315.79",,,
,10. Kadapa,2019 - 2020,,,,113,"2,079,000.00","18,398.23","25,887.00","1,553,220.00",60
,,2020 - 2021,,,,81,"1,418,000.00","17,506.17",,,
,,2021 - 2022,,,,67,"1,230,000.00","18,358.21",,,
,,2022 - 2023,,,,11,"202,000.00","18,363.64",,,
,11. Kakinada,2022 - 2023,,,,"2,882.00","52,801,000.00","18,320.96",,,
,12. Konaseema,2022 - 2023,,,,"39,169.00","674,764,000.00","17,226.99",,,
,13. Krishna,2019 - 2020,,,,"1,820.00","33,490,000.00","18,401.10","4,771.00","286,260.00",60
,,2020 - 2021,,,,"1,444.00","25,271,000.00","17,500.69",,,
,,2021 - 2022,,,,"1,544.00","34,510,000.00","22,351.04",,,
,,2022 - 2023,,,,846,"15,500,000.00","18,321.51",,,
,14. Kurnool,2019 - 2020,,,,5,"92,000.00","18,400.00","3,970.00","238,200.00",60
,,2020 - 2021,,,,22,"385,000.00","17,500.00",,,
,,2021 - 2022,,,,19,"349,000.00","18,368.42",,,
,,2022 - 2023,,,,13,"238,000.00","18,307.69",,,
,15. Nandyal,2022 - 2023,,,,8,"147,000.00","18,375.00",,,
,16. Ntr,2022 - 2023,,,,72,"1,319,000.00","18,319.44",,,
,17. Palnadu,2022 - 2023,,,,12,"220,000.00","18,333.33",,,
,18. Parvathipuram manyam,2022 - 2023,,,,104,"1,905,000.00","18,317.31",,,
,19. Prakasam,2019 - 2020,,,,19,"350,000.00","18,421.05",380,"22,800.00",60
,,2020 - 2021,,,,55,"963,000.00","17,509.09",,,
,,2021 - 2022,,,,50,"918,000.00","18,360.00",,,
,,2022 - 2023,,,,20,"366,000.00","18,300.00",,,
,20. Spsr nellore,2019 - 2020,,,,390,"7,176,000.00","18,400.00",962,"57,720.00",60
,,2020 - 2021,,,,335,"5,863,000.00","17,501.49",,,
,,2021 - 2022,,,,343,"6,298,000.00","18,361.52",,,
,,2022 - 2023,,,,364,"6,669,000.00","18,321.43",,,
,21. Sri sathya sai,2022 - 2023,,,,387,"7,090,000.00","18,320.41",,,
,22. Srikakulam,2019 - 2020,,,,"14,735.00","108,199,000.00","7,342.99","3,152.00","189,120.00",60
,,2020 - 2021,,,,"15,066.00","108,641,000.00","7,211.00",,,
,,2021 - 2022,,,,"15,010.00","77,151,000.00","5,139.97",,,
,,2022 - 2023,,,,"14,976.00","147,274,000.00","9,834.00",,,
,23. Tirupati,2022 - 2023,,,,172,"3,151,000.00","18,319.77",,,
,24. Visakhapatanam,2019 - 2020,"17,215.00","17,215.00",1,"7,420.00","98,612,000.00","13,290.03","1,383.00","82,980.00",60
,,2020 - 2021,,,,"7,658.00","104,930,000.00","13,702.01",,,
,,2021 - 2022,,,,"7,936.00","104,954,000.00","13,225.05",,,
,,2022 - 2023,,,,478,"8,757,000.00","18,320.08",,,
,25. Vizianagaram,2019 - 2020,,,,"2,859.00","40,026,000.00","14,000.00","5,800.00","348,000.00",60
,,2020 - 2021,,,,"3,141.00","44,147,000.00","14,055.08",,,
,,2021 - 2022,,,,"3,079.00","52,700,000.00","17,115.95",,,
,,2022 - 2023,,,,"3,250.00","58,812,000.00","18,096.00",,,
,26. West godavari,2019 - 2020,425,425,1,"23,316.00","694,164,000.00","29,772.00","13,125.00","787,500.00",60
,,2020 - 2021,,,,"24,423.00","595,433,000.00","24,380.01",,,
,,2021 - 2022,,,,"26,639.00","743,015,000.00","27,892.00",,,
,,2022 - 2023,,,,"7,585.00","258,793,000.00","34,119.05",,,
