S.No,District,Production and Price Forecast for RABI 2018-19*,,,,,
,,PADDY,,,,,
,,,2015-16,2016-17,2017-18,Mean of previous 3 years,2018-19 (% Deviation)
1,Srikakulam,Production,"8,156","6,794","5,678","6,876","18,064(163)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,11.53,9.61,8.03,9.72,25.54(163)
2,Vizianagaram,Production,"5,733","9,913","4,876","6,841","19,207(181)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,8.11,14.02,6.89,9.67,27.16(181)
3,Visakhapatnam,Production,"9,531","9,826","2,306","7,221","19,288(167)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,13.48,13.89,3.26,10.21,27.27(167)
4,East Godavari,Production,"10,30,212","12,29,767","11,82,662","11,47,547","6,25,639(-45)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,"1,456.72","1,738.89","1,672.28","1,622.63",884.65(-45)
5,West Godavari,Production,"11,75,662","11,94,660","16,74,492","13,48,271","6,54,904(-51)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,"1,662.39","1,689.25","2,367.73","1,906.46",926.03(-51)
6,Krishna,Production,"31,933","93,075","73,800","66,269","1,10,236(66)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,45.15,131.61,104.35,93.7,155.87(66)
7,Guntur,Production,"10,456","58,058","46,883","38,465","1,25,532(226)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,14.78,82.09,66.29,54.39,177.5(226)
8,Sri Potti Sriramulu Nellore,Production,"16,83,337","8,25,233","16,15,705","13,74,758","5,56,856(-59)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,"2,380.24","1,166.88","2,284.61","1,943.91",787.39(-59)
9,Prakasam,Production,"1,74,322","1,16,499","1,01,528","1,30,783","1,71,988(32)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,246.49,164.73,143.56,184.93,243.19(32)
10,Kurnool,Production,"29,641","1,47,010","1,04,532","93,728","70,060(-25)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,41.91,207.87,147.81,132.53,99.06(-25)
11,Ananthapuramu,Production,"42,749","17,510","31,051","30,437","37,504(23)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,60.45,24.76,43.91,43.04,53.03(23)
12,Y.S.R Kadapa,Production,"72,029","16,757","28,637","39,141","19,388(-50)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,101.85,23.69,40.49,55.35,27.41(-50)
13,Chittoor,Production,"3,82,197","1,27,944","2,24,642","2,44,928","1,13,568(-54)"
,,Price,"14,250","15,000","17,500","15,583","19,700(26)"
,,GVA,540.43,180.91,317.64,346.33,160.59(-54)
Total,,Production,"46,55,957","38,53,047","50,96,791","45,35,265","25,42,234(-44)"
,,Price,"14,250","15,000","17,500","15,583","35,000(125)"
,,GVA,"6,583.52","5,448.21","7,206.86","6,412.86","3,594.72(-44)"
,,,,,,,
