S.No,District,Total Requirement,,,Kharif,,,Rabi,,
,,N,P,K,N,P,K,N,P,K
1,Srikakulam,"40,295.35","22,101.25","23,818.18","30,650.50","18,102.30","18,992.61","9,644.85","3,998.95","4,825.58"
2,Vizianagaram,"33,409","18,547.49","20,351.21","21,709.85","14,275.04","15,275.12","11,699.15","4,272.45","5,076.09"
3,Visakhapatnam,"57,140.84","34,464.50","39,738.67","34,570.27","21,983.62","24,729.19","22,570.58","12,480.88","15,009.48"
4,East Godavari,"63,251.26","36,575.28","40,866.61","41,558.63","25,735.15","27,857.53","21,692.63","10,840.14","13,009.08"
5,West Godavari,"66,804.69","39,633.94","44,659.31","47,504.64","27,564.54","30,121.21","19,300.04","12,069.40","14,538.10"
6,Krishna,"56,975.35","31,129.11","33,843.69","42,207.05","24,032.35","25,350.69","14,768.29","7,096.77","8,492.99"
7,Guntur,"60,163.33","29,859.51","30,392.66","40,977.61","24,300.97","24,076.47","19,185.73","5,558.55","6,316.19"
8,Sri Potti Sriramulu Nellore,"20,131.89","12,334.17","13,951.08","12,816.31","7,867.54","8,679.70","7,315.57","4,466.63","5,271.38"
9,Prakasam,"20,188.74","14,052.63","12,460.30","9,626.92","8,894.01","7,240.64","10,561.82","5,158.62","5,219.66"
10,Kurnool,"67,727.81","37,739.56","38,058.15","46,499.51","31,405.42","30,598.10","21,228.30","6,334.14","7,460.05"
11,Ananthapuramu,"60,279.49","52,712.85","60,291.57","34,167.17","38,140.56","43,422.82","26,112.33","14,572.29","16,868.76"
12,Y.S.R Kadapa,"33,596.72","21,910.07","25,149.81","17,080.38","12,583.56","14,165.46","16,516.33","9,326.51","10,984.35"
13,Chittoor,"51,400.72","36,572.30","43,641.64","29,451.15","22,219.75","26,314.87","21,949.56","14,352.55","17,326.77"
Total,,"6,31,365.17","3,87,632.66","4,27,222.9","4,08,819.99","2,77,104.78","2,96,824.42","2,22,545.19","1,10,527.88","1,30,398.49"
,,,,,,,,,,
