SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Temperature (ºC),Turbidity (NTU)
1,Addanki,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2012 00:00,"",
2,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2000 00:00,"",
3,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2001 00:00,"",
4,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2002 00:00,"",
5,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2006 00:00,"",
6,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2007 00:00,"",
7,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2008 00:00,"",
8,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2009 00:00,"",
9,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2010 00:00,"",
10,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2012 00:00,"",
11,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2013 00:00,"",
12,Addanki-new,CGWB,28,Andhra Pradesh,517,PRAKASAM,ADDANKI,ADDANKI,Addanki-new,-,-,-,-,-,-,15.83333333,80.00000000,25-05-2014 00:00,"",
13,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2000 00:00,"",
14,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2002 00:00,"",
15,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2003 00:00,"",
16,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2004 00:00,"",
17,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2005 00:00,"",
18,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2006 00:00,"",
19,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2007 00:00,"",
20,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2008 00:00,"",
21,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2009 00:00,"",
22,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2010 00:00,"",
23,Addaroddu,CGWB,28,Andhra Pradesh,520,VISAKHAPATNAM,S.RAYAVARAM,S.RAYAVARAM,Addaroddu,-,-,-,-,-,-,17.42916667,82.74722222,25-05-2011 00:00,"",
