State,District,Date,Year,Month,Avg_rainfall,Agency_name
Andhra Pradesh,Kurnool,2024-05-07,2024,05,2.5011859198,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-05-14,2024,05,3.5200447896,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-05-22,2024,05,1.5282995176,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-05-27,2024,05,0.197279772,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-06-02,2024,06,1.3250507562,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-06-05,2024,06,3.6035831167,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-06-07,2024,06,4.8729682131,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-06-15,2024,06,7.5275365751,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-06-20,2024,06,0.4363262432,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-06-28,2024,06,3.7217954814,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-07-01,2024,07,8.0200721681,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-07-02,2024,07,4.9663547022,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-07-04,2024,07,1.1520192479,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-07-14,2024,07,1.2946841422,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-07-21,2024,07,3.9779307016,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-07-23,2024,07,0.7733534729,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-07-26,2024,07,1.866863202,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-08-01,2024,08,5.3429494447,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-08-03,2024,08,0.4336046665,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-08-04,2024,08,1.2528512809,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-08-09,2024,08,3.2809752128,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-08-11,2024,08,3.4527901948,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-08-13,2024,08,0.697616539,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-08-20,2024,08,2.1043516945,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-08-24,2024,08,3.3037718134,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-08-26,2024,08,0.4378942043,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-09-01,2024,09,11.411343863,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-09-02,2024,09,1.0660943928,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-09-08,2024,09,0.3320954334,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-09-10,2024,09,1.1652112097,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-09-13,2024,09,0.1319068356,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-09-14,2024,09,0.1473735909,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-09-17,2024,09,0.0478664093,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-09-22,2024,09,7.951796289,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-09-23,2024,09,15.0310658323,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-09-29,2024,09,2.4172642884,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-10-01,2024,10,0.0350083234,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-10-04,2024,10,8.9014396595,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-10-05,2024,10,5.3382134673,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-10-11,2024,10,1.9086677773,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-10-17,2024,10,11.0990356537,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-10-18,2024,10,9.2632742122,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-10-25,2024,10,0.0010978324,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-10-27,2024,10,0.0050599537,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-11-01,2024,11,0.5280427578,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-11-06,2024,11,0.0,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-11-17,2024,11,0.3074327544,NRSC VIC MODEL
Andhra Pradesh,Kurnool,2024-11-20,2024,11,0.0,NRSC VIC MODEL
