S.No,District,NITROGEN,,,PHOSPHORUS,,,POTASSIUM,,,BORON,ZINC,PH,ORGANIC CARBON
,,Recommended,Actual Usage,Deviation,Recommended,Actual Usage,Deviation,Recommended,Actual Usage,Deviation,Availability Status,Availability Status,Availability Status,Availability Status
1,Srikakulam,"11,346.41","26,751.41","15,294.08","14,372.03","11,531.47",-2889.31,764.1,"5,019.83","4,235.54",BELOW_CRITICAL,ABOVE_CRITICAL,NORMAL,MEDIUM
2,Vizianagaram,"4,916.79","22,234.48","16,322.03","7,899","9,898.77","1,540.63","1,324.66","4,730.80","3,234",BELOW_CRITICAL,BELOW_CRITICAL,NORMAL,LOW
3,Visakhapatnam,"7,647.52","13,751.85","5,892.37","9,101.19","3,433.33",-5781.68,"3,584.11","1,843.26",-1761.75,BELOW_CRITICAL,BELOW_CRITICAL,NORMAL,MEDIUM
4,East Godavari,"14,499.15","34,920.75","20,374.90","16,947.49","13,979.40",-2994.11,"1,143.14","10,690.69","9,536.08",ABOVE_CRITICAL,ABOVE_CRITICAL,NORMAL,MEDIUM
5,West Godavari,"3,547.65","46,388.44","42,838.14","15,199.92","19,543.48","4,341.92","3,642.57","21,043.20","17,398.70",BELOW_CRITICAL,ABOVE_CRITICAL,NORMAL,MEDIUM
6,Krishna,"17,879.52","47,318.66","29,098.71","9,161.23","24,665.08","15,297.26","3,625.24","11,374.56","7,685.39",BELOW_CRITICAL,ABOVE_CRITICAL,NORMAL,MEDIUM
7,Guntur,"20,606.91","61,350.56","40,238.51","15,271.72","36,904.96","21,320.86",16.69,"7,738.89","7,661.91",BELOW_CRITICAL,BELOW_CRITICAL,NORMAL,LOW
8,Sri Potti Sriramulu Nellore,"3,432.24","17,045.05","13,434.58","1,944.91","5,421.18","3,414.83","1,573.67","4,266.80","2,662.49",BELOW_CRITICAL,BELOW_CRITICAL,NORMAL,MEDIUM
9,Prakasam,"6,759.38","18,333.29","11,276.33","8,791.19","10,068.99","1,072.75",131.48,"1,799.22","1,624.34",BELOW_CRITICAL,BELOW_CRITICAL,ALKALINE,LOW
10,Kurnool,"33,682.15","56,500.98","22,578.19","19,289.17","35,169.20","15,706.79",431.84,"8,058.03","7,593.25",ABOVE_CRITICAL,BELOW_CRITICAL,NORMAL,LOW
11,Ananthapuramu,"11,397.53","22,488.97","10,857.97","23,011.37","13,249.29",-9875.3,797.78,"5,662.06","4,801.13",BELOW_CRITICAL,BELOW_CRITICAL,NORMAL,LOW
12,Y.S.R Kadapa,"4,438.58","18,664.90","14,170.62","4,358.28","9,045.51","4,661.36",97.59,"4,670.34","4,557.88",BELOW_CRITICAL,BELOW_CRITICAL,NORMAL,LOW
13,Chittoor,"7,685.30","19,772.99","10,895.94","10,617.71","8,362.18",-2920.8,"2,059.08","3,811.02","1,499.92",BELOW_CRITICAL,ABOVE_CRITICAL,NORMAL,MEDIUM
Total,,"1,47,839.12","4,05,522.34","2,53,272.37","1,55,965.2","2,01,272.81","42,895.20","19,191.97","90,708.68","70,728.87",-,-,-,-
,,,,,,,,,,,,,,
